activity_id,user_id,first_name,last_name,gender,email,signup_date,state,subscription,activity_date,day_name,month,daily_listening_time,daily_streams
ACT000001,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-01,Wednesday,January,3h 26m,41
ACT000002,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-02,Thursday,January,0h 37m,7
ACT000003,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-03,Friday,January,5h 52m,117
ACT000004,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-04,Saturday,January,3h 32m,42
ACT000005,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-05,Sunday,January,1h 51m,22
ACT000006,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-06,Monday,January,4h 45m,95
ACT000007,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-07,Tuesday,January,1h 52m,28
ACT000008,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-08,Wednesday,January,1h 47m,26
ACT000009,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-09,Thursday,January,3h 4m,36
ACT000010,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-10,Friday,January,1h 49m,36
ACT000011,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-11,Saturday,January,4h 33m,91
ACT000012,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-12,Sunday,January,5h 19m,106
ACT000013,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-13,Monday,January,3h 20m,40
ACT000014,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-14,Tuesday,January,0h 47m,11
ACT000015,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-15,Wednesday,January,4h 3m,81
ACT000016,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-16,Thursday,January,2h 59m,35
ACT000017,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-17,Friday,January,6h 0m,120
